Date,INFLOW_IRAN,OUTFLOW_IRAN,INFLOW_PAK,OUTFLOW_PAK,TOTAL_INFLOW,TOTAL_OUTFLOW
2025-01,182478,136635,133767,135377,316245,272012
2025-02,171432,84466,116436,115181,287868,199647
2025-03,192778,71223,115554,103213,308332,174436
2025-04,200506,93287,287888,146368,488394,239655
2025-05,268124,82007,217476,137606,485600,219613
2025-06,464598,50020,145031,112551,609629,162571
2025-07,820949,47976,164179,146747,985128,194723
2025-08,247844,48613,254823,148176,502667,196789
2025-09,195635,47497,347706,139631,543341,187128
2025-10,146813,45487,207697,58063,354510,103550
2025-11,151488,50580,290783,6580,442271,57160
2025-12,154909,58053,135631,7895,290540,65948
